수집일자,매장명,타겟키워드,현재순위,등락폭,1위_매장명,1위_사용_키워드,AI_인사이트
2026-03-30,달빛에구운고등어 남양주별내점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 남양주별내점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 김포양촌구래점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 김포양촌구래점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 김포양촌구래점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 광양점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 광양점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 광양점,한정식,999,-,,,
2026-03-30,달빛에구운고등어 순천신대점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 순천신대점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 순천신대점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산괴정점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산괴정점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 부산괴정점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 포항이동점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 포항이동점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 포항이동점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산동래점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산동래점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산동래점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 울산일산점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 울산일산점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 울산일산점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 일곡삼각점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 일곡삼각점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 일곡삼각점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 파주심학산점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 파주심학산점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 파주심학산점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 부산센텀점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산센텀점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 부산센텀점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산화명점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산화명점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 부산화명점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 은평뉴타운점,은평뉴타운점 맛집,2,-,,,
2026-03-30,달빛에구운고등어 은평뉴타운점,은평뉴타운점 생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산대연점,부산대연점 맛집,1,-,,,
2026-03-30,달빛에구운고등어 부산대연점,부산대연점 생선구이,999,-,,,
2026-03-30,달빛에구운고등어 만성점,화덕생선구이,999,-,-,-,⚠️ 지역명 누락: '화덕생선구이'는 전국구 경쟁 단어라 노출이 어렵습니다. '만성 화덕생선구이'(으)로 수정 등록을 제안합니다.
